Edit Date,Lead ID,Field / Event,Old Value,New Value
2026-09-09T06:01:49.000Z,00QP500000u1tXFMAY,Status,New,Lost
2026-09-09T06:01:49.000Z,00QP500000u1tWrMAI,Status,New,Not Qualified
2026-09-09T06:01:49.000Z,00QP500000u1tX5MAI,Status,New,Mailjourney
2026-09-09T06:01:49.000Z,00QP500000u1tX9MAI,Status,New,Not Qualified
2026-09-09T06:01:48.000Z,00QP500000u1tWtMAI,Status,New,Not Qualified
2026-09-09T06:01:48.000Z,00QP500000u1tXCMAY,Status,New,Mailjourney
2026-09-09T06:01:48.000Z,00QP500000u1tXBMAY,Status,New,Not Qualified
2026-09-09T06:01:48.000Z,00QP500000u1tX8MAI,Status,New,Not reached
2026-09-09T06:01:48.000Z,00QP500000u1tX7MAI,Status,New,Mailjourney
2026-09-09T06:01:48.000Z,00QP500000u1tX6MAI,Status,New,Mailjourney
2026-09-09T06:01:48.000Z,00QP500000u1tX2MAI,Status,New,Mailjourney
2026-09-09T06:01:48.000Z,00QP500000u1tWzMAI,Status,New,Mailjourney
2026-09-09T06:01:48.000Z,00QP500000u1tWyMAI,Status,New,Mailjourney
2026-09-09T06:01:48.000Z,00QP500000u1tWuMAI,Status,New,Lost
2026-09-09T04:56:09.000Z,00QQD00000APySP2A1,Status,Not Qualified,Re-entered
2026-09-08T15:37:15.000Z,00QP500000uVv8HMAS,Status,Follow-up,Re-entered
2026-09-08T15:22:35.000Z,00QP500000tkV4LMAU,Status,Follow-up,Appointment
2026-09-08T15:01:42.000Z,00QP500000uPbQjMAK,Status,Not reached,Lost
2026-09-08T14:57:13.000Z,00QP500000uVGrTMAW,Status,Not reached,Mailjourney
2026-09-08T14:56:52.000Z,00QP500000ueSqEMAU,Status,New,Follow-up
2026-09-08T14:55:09.000Z,00QP500000ueLohMAE,Status,New,Not reached
2026-09-08T14:54:15.000Z,00QP500000uf2f7MAA,Status,New,Follow-up
2026-09-08T14:51:29.000Z,00QP500000uewgAMAQ,Status,New,Not reached
2026-09-08T14:43:52.000Z,00QP500000ufEd3MAE,Status,New,Mailjourney
2026-09-08T14:43:00.000Z,00QP500000ue1oRMAQ,Status,New,Lost
2026-09-08T14:42:35.000Z,00QP500000uHYOSMA4,Status,Follow-up,Mailjourney
2026-09-08T14:39:11.000Z,00QP500000ue1oSMAQ,Status,New,Not Qualified
2026-09-08T14:35:43.000Z,00QQD00000V1PIf2AN,Status,Follow-up,Mailjourney
2026-09-08T14:34:10.000Z,00QP500000uGzbzMAC,Status,Follow-up,Mailjourney
2026-09-08T14:33:07.000Z,00QQD00000YsNId2AN,Status,Re-entered,Not Qualified
2026-09-08T14:32:22.000Z,00QP500000ueBm7MAE,Status,New,Follow-up
2026-09-08T14:32:08.000Z,00QQD00000D6iV72AJ,Status,Re-entered,Not reached
2026-09-08T14:31:51.000Z,00QQD00000YsNId2AN,Status,Not Qualified,Re-entered
2026-09-08T14:31:41.000Z,00QP500000ueneTMAQ,Status,New,Lost
2026-09-08T14:27:02.000Z,00QP500000uel82MAA,Status,New,Follow-up
2026-09-08T14:24:08.000Z,00QP500000udY9fMAE,Status,Not reached,Mailjourney
2026-09-08T14:23:29.000Z,00QP500000ueM1ZMAU,Status,Not reached,Mailjourney
2026-09-08T14:19:10.000Z,00QP500000ueVCwMAM,Status,Not reached,Mailjourney
2026-09-08T14:18:35.000Z,00QP500000ueVCwMAM,Status,New,Not reached
2026-09-08T14:17:01.000Z,00QP500000uY38BMAS,Status,Not reached,Appointment
2026-09-08T14:16:09.000Z,00QP500000udxRNMAY,Status,Not reached,Appointment
2026-09-08T14:09:42.000Z,00QP500000uephtMAA,Status,New,Mailjourney
2026-09-08T14:03:35.000Z,00QQD00000a1FTS2A2,Status,Follow-up,Mailjourney
2026-09-08T14:02:16.000Z,00QP500000tqq4VMAQ,Status,Follow-up,Mailjourney
2026-09-08T14:01:30.000Z,00QP500000tplDKMAY,Status,Follow-up,Mailjourney
2026-09-08T14:00:28.000Z,00QP500000tpMy9MAE,Status,Follow-up,Mailjourney
2026-09-08T13:59:27.000Z,00QP500000udh04MAA,Status,New,Not reached
